Species,elevation,soil_type,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,sepal_to_petal_length_ratio,sepal_to_petal_width_ratio,sepal_petal_length_diff,sepal_petal_width_diff,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2,sepal_area_sqrt,petal_area_sqrt,area_ratios
setosa,297.1,clay,4.95,3.25,1.54,0.32,16.087500000000002,0.4928,1.5230769230769232,4.8125,3.2142857142857144,10.15625,3.41,2.93,4.88,15.84,50.1,4.010922587136282,0.7019971509913697,32.64508928571429
setosa,91.1,loamy,4.91,2.55,1.79,0.29,12.5205,0.5191,1.925490196078432,6.172413793103448,2.7430167597765363,8.793103448275861,3.12,2.26,5.3,24.84,48.16,3.5384318560627954,0.7204859471218019,24.119630129069545
setosa,283.5,loamy,4.93,3.67,1.32,0.37,18.0931,0.4884,1.3433242506811989,3.567567567567568,3.734848484848485,9.91891891891892,3.61,3.3,5.11,25.92,66.43,4.253598476584267,0.698856208386246,37.0456592956593
setosa,178.1,sandy,5.45,2.47,1.48,0.17,13.4615,0.2516,2.2064777327935223,8.705882352941176,3.682432432432433,14.529411764705882,3.97,2.3000000000000003,5.43,19.04,47.04,3.668991687098787,0.5015974481593781,53.503577106518286
versicolor,181.2,loamy,5.61,2.87,4.63,1.19,16.1007,5.5097,1.9547038327526127,3.890756302521008,1.2116630669546438,2.4117647058823533,0.9800000000000004,1.6800000000000002,8.04,13.59,57.18,4.012567756437266,2.347275015842839,2.922246220302376
setosa,163.1,clay,5.19,3.5,1.8,0.23,18.165000000000003,0.414,1.4828571428571429,7.826086956521739,2.8833333333333333,15.217391304347826,3.390000000000001,3.27,5.86,18.95,41.08,4.262041764225217,0.6434283176858165,43.8768115942029
virginica,115.4,loamy,6.84,3.01,6.03,1.83,20.5884,11.0349,2.2724252491694354,3.295081967213114,1.1343283582089552,1.6448087431693987,0.8099999999999996,1.1799999999999995,11.79,11.05,71.73,4.53744421453311,3.3218819967000632,1.865753201207079
setosa,141.6,sandy,5.3,2.98,1.62,0.18,15.794,0.2916,1.778523489932886,9.000000000000002,3.271604938271605,16.555555555555557,3.68,2.8,4.39,18.37,51.48,3.9741665792968464,0.54,54.16323731138545
versicolor,270.3,sandy,5.9,2.25,4.1,1.17,13.275,4.797,2.6222222222222222,3.5042735042735043,1.4390243902439026,1.9230769230769231,1.8000000000000007,1.08,9.03,17.39,69.12,3.643487340447336,2.1902054698132774,2.7673545966228894
versicolor,170.6,sandy,5.68,2.14,3.72,0.96,12.1552,3.5712,2.654205607476636,3.875,1.5268817204301073,2.229166666666667,1.9599999999999995,1.1800000000000002,6.29,15.2,70.12,3.486430839698387,1.8897618897628348,3.403673835125448
setosa,143.3,sandy,5.42,2.81,1.72,0.3,15.2302,0.516,1.9288256227758007,5.733333333333333,3.1511627906976742,9.366666666666667,3.7,2.51,4.6,22.76,53.58,3.902588884317691,0.7183313998427189,29.515891472868216
setosa,250.6,sandy,4.87,3.85,1.5,0.37,18.7495,0.5549999999999999,1.264935064935065,4.054054054054054,3.2466666666666666,10.405405405405403,3.37,3.48,4.67,19.4,59.08,4.330069283510369,0.744983221287567,33.78288288288289
versicolor,193.1,sandy,5.48,2.71,4.03,1.36,14.8508,5.4808,2.022140221402214,2.963235294117647,1.3598014888337469,1.9926470588235288,1.4500000000000002,1.35,8.02,16.71,64.35,3.85367357206082,2.341110847439736,2.709604437308422
versicolor,199.8,sandy,5.51,2.79,4.51,1.49,15.3729,6.7199,1.9749103942652328,3.0268456375838926,1.221729490022173,1.87248322147651,1.0,1.3,10.44,17.11,60.81,3.920828993975636,2.5922769913726427,2.287667971249572
setosa,188.2,sandy,5.64,2.54,1.29,0.13,14.3256,0.1677,2.220472440944882,9.923076923076923,4.372093023255814,19.538461538461537,4.35,2.41,4.98,20.48,50.46,3.784917436351816,0.4095119045888654,85.42397137745974
